date,cash,mtm,equity
2022-01-03,55319.0,46999.45,102318.45
2022-01-04,55319.0,47866.3,103185.3
2022-01-05,55319.0,48325.9,103644.9
2022-01-06,55319.0,48470.5,103789.5
2022-01-07,55319.0,49719.25,105038.25
2022-01-10,55319.0,49935.55,105254.55
2022-01-11,55319.0,50172.1,105491.1
2022-01-12,55319.0,50031.7,105350.7
2022-01-13,55319.0,49823.05,105142.05
2022-01-14,55319.0,49885.75,105204.75
2022-01-17,55319.0,49238.65,104557.65
2022-01-18,55319.0,48241.75,103560.75
2022-01-19,55319.0,47642.2,102961.2
2022-01-20,55319.0,48151.9,103470.9
2022-01-21,55319.0,47179.45,102498.45
2022-01-24,55319.0,45365.8,100684.8
2022-01-25,55319.0,45173.5,100492.5
2022-01-27,55319.0,44450.5,99769.5
2022-01-28,55319.0,44582.65,99901.65
2022-01-31,55319.0,44687.8,100006.8
2022-02-01,55319.0,45210.55,100529.55
2022-02-02,55319.0,46345.0,101664.0
2022-02-03,55319.0,46391.65,101710.65
2022-02-04,55319.0,46427.65,101746.65
2022-02-07,55319.0,45998.5,101317.5
2022-02-08,55319.0,45154.45,100473.45
2022-02-09,55319.0,45272.35,100591.35
2022-02-10,55319.0,45171.7,100490.7
2022-02-11,55319.0,44486.2,99805.2
2022-02-14,55319.0,42549.1,97868.1
2022-02-15,55319.0,43880.2,99199.2
2022-02-16,55319.0,43123.45,98442.45
2022-02-17,55319.0,43296.55,98615.55
2022-02-18,55319.0,42944.35,98263.35
2022-02-21,55319.0,41909.35,97228.35
2022-02-22,55319.0,41075.65,96394.65
2022-02-23,55319.0,41549.5,96868.5
2022-02-24,55319.0,39502.9,94821.9
2022-02-25,55319.0,40637.35,95956.35
2022-02-28,55319.0,40360.15,95679.15
2022-03-02,55319.0,40798.3,96117.3
2022-03-03,55319.0,40253.65,95572.65
2022-03-04,55319.0,39762.85,95081.85
2022-03-07,55319.0,38846.5,94165.5
2022-03-08,55319.0,39470.05,94789.05
2022-03-09,55319.0,40686.7,96005.7
2022-03-10,55319.0,41177.8,96496.8
2022-03-11,55319.0,41484.4,96803.4
2022-03-14,55319.0,42293.5,97612.5
2022-03-15,55319.0,41764.0,97083.0
2022-03-16,55319.0,42360.55,97679.55
2022-03-17,55319.0,43209.25,98528.25
2022-03-21,55319.0,42770.5,98089.5
2022-03-22,55319.0,42869.35,98188.35
2022-03-23,55319.0,42820.15,98139.15
2022-03-24,55319.0,42453.55,97772.55
