date,symbol,side,qty,price,stop,reason
2022-03-15,FLUOROCHEM,BUY,3,2842.0,2586.2286,ENTRY
2022-03-15,RKFORGE,BUY,52,189.45,168.9257,ENTRY
2022-03-15,CERA,BUY,2,4494.25,4072.3785,ENTRY
2022-03-15,APLAPOLLO,BUY,10,918.65,838.1643,ENTRY
2022-03-15,CIPLA,BUY,9,1068.05,1009.9786,ENTRY
2022-03-23,RKFORGE,SELL,52,166.8,168.9257,STOP
2022-03-23,ITC,BUY,39,252.0,240.8929,ENTRY
2022-03-29,FLUOROCHEM,SELL,3,2783.6001,2802.9499,STOP
2022-03-29,USHAMART,BUY,80,124.7,109.8143,ENTRY
2022-04-01,CIPLA,SELL,9,1014.85,1009.9786,SMA20_BREAK
2022-04-01,GMDCLTD,BUY,52,192.25,172.9071,ENTRY
2022-04-07,CERA,SELL,2,4680.5498,4647.8,SMA20_BREAK
2022-04-07,SWANENERGY,BUY,28,270.75,239.9714,ENTRY
2022-04-18,GMDCLTD,SELL,52,195.1,195.7643,STOP
2022-04-18,SOLARINDS,BUY,3,3036.1499,2828.8785,ENTRY
2022-04-25,ITC,SELL,39,255.25,256.9,STOP
2022-04-25,SOLARINDS,SELL,3,2850.3,2828.8785,SMA20_BREAK
2022-04-25,AWL,BUY,13,764.95,688.2786,ENTRY
2022-04-25,BLS,BUY,100,82.7375,74.0071,ENTRY
2022-04-28,APLAPOLLO,SELL,10,1007.95,986.0928,SMA20_BREAK
2022-04-28,CHENNPETRO,BUY,33,254.15,217.3428,ENTRY
2022-05-02,USHAMART,SELL,80,141.85,142.1143,STOP
2022-05-02,AWL,SELL,13,753.6,760.0071,STOP
2022-05-02,MRPL,BUY,125,79.85,67.8571,ENTRY
2022-05-02,VBL,BUY,67,147.3133,131.3,ENTRY
2022-05-09,SWANENERGY,SELL,28,293.9,290.7143,SMA20_BREAK
2022-05-09,POWERGRID,BUY,54,183.8625,173.2286,ENTRY
2022-05-10,BLS,SELL,100,83.25,83.0196,SMA20_BREAK
2022-05-11,VBL,SELL,67,139.92,131.3,SMA20_BREAK
2022-05-12,CHENNPETRO,SELL,33,259.05,264.8071,STOP
2022-05-12,MRPL,SELL,125,66.85,67.8571,STOP
2022-05-12,GUJGASLTD,BUY,17,566.95,519.8143,ENTRY
2022-05-16,ESCORTS,BUY,6,1645.3,1546.8786,ENTRY
2022-05-17,MRPL,BUY,123,81.25,67.9143,ENTRY
2022-05-17,VBL,BUY,67,147.9867,134.5333,ENTRY
2022-05-18,POWERGRID,SELL,54,170.925,173.2286,STOP
2022-05-18,CHENNPETRO,BUY,30,313.8,274.0,ENTRY
2022-05-19,VBL,SELL,67,141.4867,134.5333,SMA20_BREAK
2022-05-19,VGUARD,BUY,44,224.25,207.5857,ENTRY
2022-05-25,ESCORTS,SELL,6,1573.55,1546.8786,SMA20_BREAK
2022-05-25,CHENNPETRO,SELL,30,294.1,303.9786,STOP
2022-05-25,ZFCVINDIA,BUY,1,8124.0498,7588.2853,ENTRY
2022-05-25,BAYERCROP,BUY,2,4974.2998,4556.9141,ENTRY
2022-05-30,MRPL,SELL,123,77.8,79.3,STOP
2022-05-30,UNOMINDA,BUY,21,469.925,420.5893,ENTRY
2022-05-31,ZFCVINDIA,SELL,1,7607.75,7588.2853,SMA20_BREAK
2022-05-31,FINPIPE,BUY,61,157.0,142.9714,ENTRY
2022-06-06,GUJGASLTD,SELL,17,551.6,538.25,SMA20_BREAK
2022-06-06,UNOMINDA,SELL,21,435.275,420.5893,SMA20_BREAK
2022-06-06,APARINDS,BUY,13,769.1,687.9285,ENTRY
2022-06-06,PGEL,BUY,99,92.48,78.8093,ENTRY
2022-06-13,VGUARD,SELL,44,218.05,221.95,STOP
2022-06-13,FINPIPE,SELL,61,147.85,150.6643,STOP
2022-06-13,BAJAJ-AUTO,BUY,2,3881.25,3661.2572,ENTRY
2022-06-14,BAJAJ-AUTO,SELL,2,3681.75,3661.2572,SMA20_BREAK
2022-06-14,BLS,BUY,97,102.3,93.275,ENTRY
